word,katakana,part_of_speech,conjugation_type,conjugated_form_example
午前,ゴゼン,名詞-普通名詞-副詞可能,0,0
カギ,カギ,名詞-普通名詞-一般,0,0
荷物,ニモツ,名詞-普通名詞-一般,0,0
洗濯,センタク,名詞-普通名詞-サ変可能,0,0
東,ヒガシ,名詞-普通名詞-一般,0,0
コピー,コピー,名詞-普通名詞-サ変可能,0,0
時計,トケイ,名詞-普通名詞-一般,0,0
杯,ハイ,接尾辞-名詞的-助数詞,0,0
ニュース,ニュース,名詞-普通名詞-一般,0,0
匹,ヒキ,接尾辞-名詞的-助数詞,0,0
一日,ツイタチ,名詞-普通名詞-副詞可能,0,0
立派,リッパ,形状詞-一般,0,0
暑い,アツイ,形容詞-一般,形容詞,語幹-一般
公園,コウエン,名詞-普通名詞-一般,0,0
机,ツクエ,名詞-普通名詞-一般,0,0
便利,ベンリ,名詞-普通名詞-形状詞可能,0,0
下手,ヘタ,名詞-普通名詞-サ変形状詞可能,0,0
門,モン,名詞-普通名詞-一般,0,0
西,ニシ,名詞-普通名詞-一般,0,0
太い,フトイ,形容詞-一般,形容詞,連用形-一般
文章,ブンショウ,名詞-普通名詞-一般,0,0
だんだん,ダンダン,副詞,0,0
アパート,アパート,名詞-普通名詞-一般,0,0
夕方,ユウガタ,名詞-普通名詞-副詞可能,0,0
戸,ト,名詞-普通名詞-一般,0,0
タマゴ,タマゴ,名詞-普通名詞-一般,0,0
かしこ,カシコ,代名詞,0,0
撮る,トル,動詞-一般,五段-ラ行-一般,連用形-促音便
ノート,ノート,名詞-普通名詞-サ変可能,0,0
上手,ジョウズ,形状詞-一般,0,0
カメラ,カメラ,名詞-普通名詞-一般,0,0
菓子,カシ,名詞-普通名詞-一般,0,0
緑,ミドリ,名詞-普通名詞-一般,0,0
買い物,カイモノ,名詞-普通名詞-サ変可能,0,0
青い,アオイ,形容詞-一般,形容詞,連体形-一般
シャツ,シャツ,名詞-普通名詞-一般,0,0
南,ミナミ,名詞-普通名詞-一般,0,0
タクシー,タクシー,名詞-普通名詞-一般,0,0
降る,フル,動詞-一般,五段-ラ行-一般,仮定形-一般
嫌う,キラウ,動詞-一般,五段-ワア行-一般,連体形-一般
はじめ,ハジメ,名詞-普通名詞-副詞可能,0,0
靴,クツ,名詞-普通名詞-一般,0,0
入り口,イリグチ,名詞-普通名詞-一般,0,0
廊下,ロウカ,名詞-普通名詞-一般,0,0
練習,レンシュウ,名詞-普通名詞-サ変可能,0,0
クラス,クラス,名詞-普通名詞-一般,0,0
並べる,ナラベル,動詞-一般,下一段-バ行,未然形-一般
早い,ハヤイ,形容詞-一般,形容詞,連用形-一般
晩,バン,名詞-普通名詞-副詞可能,0,0
かなた,カナタ,代名詞,0,0
眼鏡,メガネ,名詞-普通名詞-一般,0,0
まずい,マズイ,形容詞-一般,形容詞,語幹-一般
スポーツ,スポーツ,名詞-普通名詞-サ変可能,0,0
勤める,ツトメル,動詞-一般,下一段-マ行,連体形-一般
日曜,ニチヨウ,名詞-普通名詞-副詞可能,0,0
テープ,テープ,名詞-普通名詞-一般,0,0
ポケット,ポケット,名詞-普通名詞-一般,0,0
去年,キョネン,名詞-普通名詞-副詞可能,0,0
